UUID,Name,Encrypted,Medtronic Proprietary,Notes,Converter Class
00000101-0000-1000-0000-009132591325,IDD Status Changed,yes,yes,,
00000102-0000-1000-0000-009132591325,IDD Status,yes,yes,,
00000103-0000-1000-0000-009132591325,IDD Annunciation Status,yes,yes,,
00000104-0000-1000-0000-009132591325,IDD Features,yes,yes,,
00000105-0000-1000-0000-009132591325,IDD Status Reader Control Point,yes,yes,,
00000106-0000-1000-0000-009132591325,IDD Command Control Point,yes,yes,,
00000107-0000-1000-0000-009132591325,IDD Command Data,yes,yes,,
00000108-0000-1000-0000-009132591325,IDD History Data,yes,yes,pump uses this to send the requested old sensor data to the mobile app in batches,
00000109-0000-1000-0000-009132591325,Secure Control,?,yes,it is used probably for public key exchange,
00000400-0000-1000-0000-009132591325,GST Battery Level,no,?,,
00002a52-0000-1000-8000-00805f9b34fb,Record Access Control Point,no,?,mobile app uses this to batch-request old sensor data for a specific time span from the pump after a new connection,
